Region;Brott;År;Period;Antal;/100 000 inv
Stockholm kommun;4 kap. Brott mot frihet och frid;2022;Jan;1024;104;
Stockholm kommun;4 kap. Brott mot frihet och frid;2022;Feb;1091;111;
Stockholm kommun;4 kap. Brott mot frihet och frid;2022;Mar;1174;120;
Stockholm kommun;4 kap. Brott mot frihet och frid;2022;Apr;1035;105;
Stockholm kommun;4 kap. Brott mot frihet och frid;2022;Maj;1125;115;
Stockholm kommun;4 kap. Brott mot frihet och frid;2022;Jun;1052;107;
Stockholm kommun;4 kap. Brott mot frihet och frid;2022;Jul;961;98;
Stockholm kommun;4 kap. Brott mot frihet och frid;2022;Aug;1086;111;
Stockholm kommun;4 kap. Brott mot frihet och frid;2022;Sep;1091;111;
Stockholm kommun;4 kap. Brott mot frihet och frid;2022;Okt;1112;113;
Stockholm kommun;4 kap. Brott mot frihet och frid;2022;Nov;1072;109;
Stockholm kommun;4 kap. Brott mot frihet och frid;2022;Dec;1030;105;
