Region;Brott;År;Period;Antal;/100 000 inv
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Mar;21;64;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Apr;33;101;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Maj;36;110;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Jun;41;125;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Jul;35;107;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Aug;45;138;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Sep;39;119;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Okt;50;153;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Nov;54;165;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Dec;47;144;
Danderyd kommun;5 kap. Ärekränkningsbrott;2023 prel.;Jan;0;0;
Danderyd kommun;5 kap. Ärekränkningsbrott;2023 prel.;Feb;1;3;
Danderyd kommun;5 kap. Ärekränkningsbrott;2023 prel.;Mar;0;0;
Danderyd kommun;5 kap. Ärekränkningsbrott;2023 prel.;Apr;3;9;
Danderyd kommun;5 kap. Ärekränkningsbrott;2023 prel.;Maj;5;15;
Danderyd kommun;5 kap. Ärekränkningsbrott;2023 prel.;Jun;1;3;
Danderyd kommun;5 kap. Ärekränkningsbrott;2023 prel.;Jul;0;0;
Danderyd kommun;5 kap. Ärekränkningsbrott;2023 prel.;Aug;1;3;
Danderyd kommun;5 kap. Ärekränkningsbrott;2023 prel.;Sep;2;6;
Danderyd kommun;5 kap. Ärekränkningsbrott;2023 prel.;Okt;1;3;
Danderyd kommun;5 kap. Ärekränkningsbrott;2023 prel.;Nov;1;3;
Danderyd kommun;5 kap. Ärekränkningsbrott;2023 prel.;Dec;0;0;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Jan;34;104;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Feb;47;144;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Mar;21;64;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Apr;33;101;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Maj;36;110;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Jun;41;125;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Jul;35;107;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Aug;45;138;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Sep;39;119;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Okt;50;153;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Nov;54;165;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Dec;47;144;
Danderyd kommun;6 kap. Sexualbrott;2023 prel.;Jan;1;3;
Danderyd kommun;6 kap. Sexualbrott;2023 prel.;Feb;4;12;
Danderyd kommun;6 kap. Sexualbrott;2023 prel.;Mar;4;12;
Danderyd kommun;6 kap. Sexualbrott;2023 prel.;Apr;0;0;
Danderyd kommun;6 kap. Sexualbrott;2023 prel.;Maj;1;3;
Danderyd kommun;6 kap. Sexualbrott;2023 prel.;Jun;4;12;
Danderyd kommun;6 kap. Sexualbrott;2023 prel.;Jul;5;15;
Danderyd kommun;6 kap. Sexualbrott;2023 prel.;Aug;5;15;
Danderyd kommun;6 kap. Sexualbrott;2023 prel.;Sep;5;15;
Danderyd kommun;6 kap. Sexualbrott;2023 prel.;Okt;5;15;
Danderyd kommun;6 kap. Sexualbrott;2023 prel.;Nov;3;9;
Danderyd kommun;6 kap. Sexualbrott;2023 prel.;Dec;1;3;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Jan;34;104;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Feb;47;144;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Mar;21;64;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Apr;33;101;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Maj;36;110;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Jun;41;125;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Jul;35;107;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Aug;45;138;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Sep;39;119;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Okt;50;153;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Nov;54;165;
Danderyd kommun;3-7 kap. Brott mot person;2023 prel.;Dec;47;144;
Danderyd kommun;7 kap. Brott mot familj;2023 prel.;Jan;0;0;
Danderyd kommun;7 kap. Brott mot familj;2023 prel.;Feb;0;0;
Danderyd kommun;7 kap. Brott mot familj;2023 prel.;Mar;0;0;
Danderyd kommun;7 kap. Brott mot familj;2023 prel.;Apr;0;0;
Danderyd kommun;7 kap. Brott mot familj;2023 prel.;Maj;0;0;
Danderyd kommun;7 kap. Brott mot familj;2023 prel.;Jun;0;0;
Danderyd kommun;7 kap. Brott mot familj;2023 prel.;Jul;0;0;
Danderyd kommun;7 kap. Brott mot familj;2023 prel.;Aug;0;0;
Danderyd kommun;7 kap. Brott mot familj;2023 prel.;Sep;0;0;
Danderyd kommun;7 kap. Brott mot familj;2023 prel.;Okt;0;0;
Danderyd kommun;7 kap. Brott mot familj;2023 prel.;Nov;0;0;
Danderyd kommun;7 kap. Brott mot familj;2023 prel.;Dec;0;0;
Haninge kommun;3-7 kap. Brott mot person;2023 prel.;Jan;195;200;
Haninge kommun;3-7 kap. Brott mot person;2023 prel.;Feb;182;186;
Haninge kommun;3-7 kap. Brott mot person;2023 prel.;Mar;271;277;
Haninge kommun;3-7 kap. Brott mot person;2023 prel.;Apr;274;280;
Haninge kommun;3-7 kap. Brott mot person;2023 prel.;Maj;273;279;
Haninge kommun;3-7 kap. Brott mot person;2023 prel.;Jun;191;196;
Haninge kommun;3-7 kap. Brott mot person;2023 prel.;Jul;190;195;
Haninge kommun;3-7 kap. Brott mot person;2023 prel.;Aug;212;217;
Haninge kommun;3-7 kap. Brott mot person;2023 prel.;Sep;223;228;
